Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,TimeControl,EndTime,Termination,Moves
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,VovAn1991,RealBlindMuddy,1-0,2355,2037,180+2,12:02:07 PDT,VovAn1991 won - game abandoned,e2e4
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,TomsKantans,lorcho,0-1,2234,2632,180+2,12:03:07 PDT,lorcho won on time,
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,ilmago,GMG,0-1,1718,2278,180+2,12:03:24 PDT,GMG won by resignation,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,a7a6,c2c4,g8f6,b1c3,d8c7,f1d3,b8c6,c1e3,f8b4,d1d2,c6e5,b2b3,f6g4,d3e2,g4e3,d2e3,c7a5,e1d2,e5c6,d4c6,b7c6,d2c2,e8g8,f2f4,d7d5,e4d5,c6d5,a2a3,b4e7,b3b4,a5c7,c4c5,e7f6,g2g4,d5d4,e3f3,d4c3,f3a8,c8b7,a8a7,b7e4"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,SabinaFoisor,swayamsm,1-0,2284,2288,180+2,12:03:28 PDT,SabinaFoisor won - game abandoned,"d2d4,e7e6,c2c4,b7b6,a2a3,c8b7,b1c3,f7f5,g1h3,g8f6,f2f3,f8d6,e2e3"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,KingPetrosian,mat_kolosowski,0-1,2095,2352,180+2,12:05:17 PDT,mat_kolosowski won by checkmate,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,b8c6,c1e3,g8f6,b1c3,f8b4,d1d2,f6e4,d2d3,d8a5,d4c6,b7c6,e3d2,e4d2,d3d2,d7d5,a2a3,e8g8,e1c1,b4a3,b2a3,a5a3,c1b1,a8b8,c3b5,c8a6,c2c3,a6b5,f1b5,b8b5,b1c2,b5b2,c2d3,b2d2,d1d2,f8b8,h1d1,b8b2,d2b2,a3b2,d1d2,b2b1,d3e2,a7a5,d2d1,b1c2,d1d2,c2c3,d2d3,c3c4,e2d2,a5a4,d3a3,c4b4,a3c3,a4a3,d2c2,b4b2,c2d3,a3a2,c3c2,b2b5,d3c3,a2a1q,c3d2,a1d4,d2c1,b5f1"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,IMRosen,jbj,1-0,2000,2293,180+2,12:05:25 PDT,IMRosen won by resignation,"e2e4,e7e6,d2d4,d7d5,b1d2,d5e4,d2e4,c8d7,g1f3,d7c6,f1d3,b8d7,c2c3,f8e7,e1g1,g8f6,e4g3,c6f3,d1f3,c7c6,f1e1,e8g8,c1f4,f8e8,a1d1,d8a5,a2a3,a5b6,e1e2,a8d8,d1e1,e7f8,h2h4,c6c5,f4e3,c5d4,e3d4,f8c5,d4c5,d7c5,d3c2,c5d3,c2d3,d8d7,d3c2,e8d8,g3h5,f6h5,f3h5,g7g6,h5g5,d7d5,g5f6,d5d2,h4h5,d2e2,e1e2,d8d6,h5h6,g8f8,c2g6,d6d1,g1h2,b6d6,g2g3,h7g6,h6h7,d1h1,h2h1,d6d1,h1g2,d1d5,f2f3"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,Alexander_Donchenko,brauliocuarta,1-0,2310,1959,180+2,12:05:51 PDT,Alexander_Donchenko won by resignation,"d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,a7a6,b5a6,g7g6,b1c3,c8a6,g1f3,f8g7,e2e4,a6f1,e1f1,d7d6,g2g3,e8g8,f1g2,b8d7,a2a4,f6g4,d1e2,d8a5,f3d2,g7c3,b2c3,a5c3,a1a3,c3b4,e2g4,d7e5,g4e2,c5c4,e2d1,c4c3,d1b3,f8b8,b3b4,b8b4,a3c3,a8a4,h1e1,a4a1,d2f3,e5d7,c3c8,g8g7,c1b2,b4b2,e1a1"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,kevin9512,wannabe2700,0-1,1850,2302,180+2,12:06:00 PDT,wannabe2700 won by resignation,"d2d4,e7e6,c2c4,f7f5,g1f3,g8f6,g2g3,f8e7,f1g2,e8g8,e1g1,d7d6,b1c3,f6e4,d1c2,e4c3,b2c3,b8c6,d4d5,c6a5,f3d4,e6e5,d4e6,c8e6,d5e6,c7c6,c2a4,a7a6,a1b1,b7b5,c4b5,a6b5,a4c2,d8c8,a2a4,b5a4,c2a4,d6d5,b1b6,c8e6,c3c4,a5c4,a4c6,e6c6,b6c6,e5e4,f2f3,f8c8,c6e6,e7c5,g1h1,a8a1,f3e4,f5e4,g2h3,c8f8,f1f8,g8f8"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,Trendle,jcibarra,0-1,2188,2421,180+2,12:06:05 PDT,jcibarra won by resignation,"e2e4,c7c5,g1f3,e7e6,g2g3,b8c6,f1g2,g8f6,d1e2,d7d6,e1g1,f8e7,b2b3,e8g8,c1b2,e6e5,c2c3,c8g4,d2d3,d8d7,b1d2,b7b5,e2e3,b5b4,d2c4,b4c3,b2c3,f6e8,f3d2,e8c7,f2f4,c7b5,a1c1,b5c3,c1c3,c6d4,g2f3,g4h3,f3g2,e5f4,e3f2,f4g3,h2g3,h3g4,d2f3,g4f3,g2f3,a8e8,c3c1,f7f5,f2g2,e7g5,c1e1,f5f4,e4e5,d4f3,g2f3,d6e5,c4e5,e8e5,e1e5,d7d4,g1g2,d4e5,g3f4,g5f4"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,liczner,Palacios-LLera,1-0,2429,2200,180+2,12:06:08 PDT,liczner won by checkmate,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g7g6,b1c3,f8g7,d4b3,a7a5,a2a4,g8f6,f1e2,d7d6,e1g1,e8g8,f1e1,c8e6,e2f1,f8e8,c3d5,e6d5,e4d5,c6b4,f1b5,f6d7,c2c3,b4a6,b3a5,a6c7,b5d7,d8d7,a5c4,a8a6,c1e3,d7f5,c4b6,h7h5,h2h3,h5h4,d1d2,g8h7,e3d4,g7h6,d2e2,c7d5,e2b5,d5b6,b5e8,b6d5,e8h8"
