Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,TimeControl,EndTime,Termination,Moves,Evaluation,White CP Loss,White Accuracy,Black CP Loss,Black Accuracy,White Beginning Accuracy,White Beginning Std,White Middle Accuracy,White Middle Std,White Endgame Accuracy,White Endgame Std,Black Beginning Accuracy,Black Beginning Std,Black Middle Accuracy,Black Middle Std,Black Endgame Accuracy,Black Endgame Std
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,VovAn1991,RealBlindMuddy,1-0,2355,2037,180+2,12:02:07 PDT,VovAn1991 won - game abandoned,e2e4,0.29,1,100,,,,,,,100,0,,,,,,
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,TomsKantans,lorcho,0-1,2234,2632,180+2,12:03:07 PDT,lorcho won on time,,,,,,,,,,,,,,,,,,
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,ilmago,GMG,0-1,1718,2278,180+2,12:03:24 PDT,GMG won by resignation,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,a7a6,c2c4,g8f6,b1c3,d8c7,f1d3,b8c6,c1e3,f8b4,d1d2,c6e5,b2b3,f6g4,d3e2,g4e3,d2e3,c7a5,e1d2,e5c6,d4c6,b7c6,d2c2,e8g8,f2f4,d7d5,e4d5,c6d5,a2a3,b4e7,b3b4,a5c7,c4c5,e7f6,g2g4,d5d4,e3f3,d4c3,f3a8,c8b7,a8a7,b7e4","0.19,0.16,0.32,0.36,0.49,0.49,0.52,0.56,0.45,0.42,0.47,0.35,0.57,0.40,0.37,0.40,0.50,-0.14,0.06,-1.46,-0.54,-0.56,-0.49,-0.71,-0.79,-1.00,-0.35,-0.69,-0.47,-1.28,-0.51,-1.10,-1.01,-2.47,-2.09,-1.99,-1.65,-2.06,-2.23,-2.23,-2.13,-4.54,-4.16,-4.16,-4.29,-5.83,-6.03,-7.35",54.66666667,81.05714123,17.95833333,93.07624344,98.28401751,2.69360357,79.7648772,13.71237919,81.01792746,18.01418196,97.50957475,4.371310873,89.24699439,12.29583093,96.1521229,4.911945508
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,SabinaFoisor,swayamsm,1-0,2284,2288,180+2,12:03:28 PDT,SabinaFoisor won - game abandoned,"d2d4,e7e6,c2c4,b7b6,a2a3,c8b7,b1c3,f7f5,g1h3,g8f6,f2f3,f8d6,e2e3","0.23,0.23,0.33,0.22,0.69,0.25,0.43,0.33,0.75,0.44,0.44,0.36,0.36",13.71428571,94.71758447,17.16666667,93.24736025,97.69139205,2.308607949,91.30052163,6.859784181,96.36094559,5.1464001,89.11891682,7.049752633,94.17860975,4.779426081,99.68345935,0.316540653
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,KingPetrosian,mat_kolosowski,0-1,2095,2352,180+2,12:05:17 PDT,mat_kolosowski won by checkmate,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,b8c6,c1e3,g8f6,b1c3,f8b4,d1d2,f6e4,d2d3,d8a5,d4c6,b7c6,e3d2,e4d2,d3d2,d7d5,a2a3,e8g8,e1c1,b4a3,b2a3,a5a3,c1b1,a8b8,c3b5,c8a6,c2c3,a6b5,f1b5,b8b5,b1c2,b5b2,c2d3,b2d2,d1d2,f8b8,h1d1,b8b2,d2b2,a3b2,d1d2,b2b1,d3e2,a7a5,d2d1,b1c2,d1d2,c2c3,d2d3,c3c4,e2d2,a5a4,d3a3,c4b4,a3c3,a4a3,d2c2,b4b2,c2d3,a3a2,c3c2,b2b5,d3c3,a2a1q,c3d2,a1d4,d2c1,b5f1","0.24,0.20,0.21,0.30,0.43,0.36,0.39,0.38,0.39,0.04,0.03,0.02,-0.01,-1.67,-1.78,-2.10,-1.88,-1.91,-2.09,-3.24,-3.29,-3.34,-3.20,-3.26,-3.04,-4.91,-4.81,-5.15,-5.02,-4.95,-4.95,-4.92,-5.00,-8.70,-8.59,-8.62,-8.68,-8.61,-8.28,-8.34,-8.26,-8.35,-8.35,-8.32,-8.05,-8.03,-7.98,-7.94,-7.98,-7.99,-7.94,-8.20,-8.33,-8.28,-8.32,-8.65,-8.42,-8.50,-8.26,-8.82,-9.47,-9.72,-8.89,-8.91,-8.83,-8.89,-8.91,-8.93,-10.94,-5,-4,-3,-3,-1",26.97297297,89.89354856,11.45945946,98.76783143,91.23552518,15.30491554,94.14715817,12.21126014,99.85832628,0.490772154,97.96192427,2.60434303,99.18249825,1.38323697,99.43575734,1.106247082
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,IMRosen,jbj,1-0,2000,2293,180+2,12:05:25 PDT,IMRosen won by resignation,"e2e4,e7e6,d2d4,d7d5,b1d2,d5e4,d2e4,c8d7,g1f3,d7c6,f1d3,b8d7,c2c3,f8e7,e1g1,g8f6,e4g3,c6f3,d1f3,c7c6,f1e1,e8g8,c1f4,f8e8,a1d1,d8a5,a2a3,a5b6,e1e2,a8d8,d1e1,e7f8,h2h4,c6c5,f4e3,c5d4,e3d4,f8c5,d4c5,d7c5,d3c2,c5d3,c2d3,d8d7,d3c2,e8d8,g3h5,f6h5,f3h5,g7g6,h5g5,d7d5,g5f6,d5d2,h4h5,d2e2,e1e2,d8d6,h5h6,g8f8,c2g6,d6d1,g1h2,b6d6,g2g3,h7g6,h6h7,d1h1,h2h1,d6d1,h1g2,d1d5,f2f3","0.36,0.30,0.35,0.39,0.30,0.09,0.50,0.50,0.70,0.60,0.62,0.62,0.57,0.52,0.60,0.52,0.51,0.36,0.43,0.52,0.51,0.48,0.48,0.39,0.50,0.53,0.63,0.60,0.60,0.12,0.78,0.71,0.91,0.25,0.59,0.09,0.02,-0.13,-0.03,-0.18,-0.16,-0.10,5.15,5.05,5.06,5.06,5.00,4.65,4.54,4.76,5.10,5.11,5.14,4.33,4.45,5.19,5.11,5.09,6.90,6.89,7.45,7.43,7.74,7.51,8.14,8.56,11.52,12,12,8,7,11,11",16.45945946,96.30010956,34.36111111,84.28869115,98.40759761,1.934277026,94.01104558,7.175069,98.18492471,5.018241203,97.34385621,3.532149634,90.05413132,22.15684245,96.09203895,5.944918642
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,Alexander_Donchenko,brauliocuarta,1-0,2310,1959,180+2,12:05:51 PDT,Alexander_Donchenko won by resignation,"d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,a7a6,b5a6,g7g6,b1c3,c8a6,g1f3,f8g7,e2e4,a6f1,e1f1,d7d6,g2g3,e8g8,f1g2,b8d7,a2a4,f6g4,d1e2,d8a5,f3d2,g7c3,b2c3,a5c3,a1a3,c3b4,e2g4,d7e5,g4e2,c5c4,e2d1,c4c3,d1b3,f8b8,b3b4,b8b4,a3c3,a8a4,h1e1,a4a1,d2f3,e5d7,c3c8,g8g7,c1b2,b4b2,e1a1","0.23,0.14,0.13,0.11,0.83,0.63,0.46,0.59,0.59,0.47,0.60,0.61,0.66,0.40,0.53,0.49,0.65,0.68,0.62,0.76,0.72,0.69,0.82,0.89,1.24,1.21,1.19,1.29,1.64,1.72,3.75,3.38,4.00,3.70,3.84,3.66,3.81,2.94,3.90,3.67,4.13,3.88,4.15,3.97,4.26,4.13,4.43,4.61,5.25,5.19,5.20,5.11,5.12",12.92592593,97.11240801,31.26923077,88.50265645,98.50837632,1.622839989,97.4871267,4.168938852,95.3814284,4.879949189,93.54847136,8.236929636,89.54897905,14.36563621,93.58387908,4.655053307
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,kevin9512,wannabe2700,0-1,1850,2302,180+2,12:06:00 PDT,wannabe2700 won by resignation,"d2d4,e7e6,c2c4,f7f5,g1f3,g8f6,g2g3,f8e7,f1g2,e8g8,e1g1,d7d6,b1c3,f6e4,d1c2,e4c3,b2c3,b8c6,d4d5,c6a5,f3d4,e6e5,d4e6,c8e6,d5e6,c7c6,c2a4,a7a6,a1b1,b7b5,c4b5,a6b5,a4c2,d8c8,a2a4,b5a4,c2a4,d6d5,b1b6,c8e6,c3c4,a5c4,a4c6,e6c6,b6c6,e5e4,f2f3,f8c8,c6e6,e7c5,g1h1,a8a1,f3e4,f5e4,g2h3,c8f8,f1f8,g8f8","0.17,0.12,0.31,0.20,0.42,0.41,0.48,0.49,0.47,0.51,0.48,0.51,0.50,0.51,0.57,0.52,0.57,0.46,0.47,0.50,0.51,-0.52,-0.55,-0.52,-0.49,-0.53,-0.27,-0.45,-0.37,-1.17,-1.26,-1.46,-1.59,-1.46,-0.96,-1.11,-1.02,-1.60,-1.68,-2.16,-0.58,-0.51,-0.02,-0.65,-0.68,-0.69,-0.51,-0.99,-0.39,-3.22,-3.55,-3.76,-2.36,-2.52,-1.20,-3.45,-3.97,-5.67",43.89655172,80.72913436,20,91.49555303,97.64030795,2.994654894,91.84691244,10.49806819,77.27788827,21.02286658,97.25892216,2.78078627,97.13655128,5.514421474,87.87650143,12.85114501
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,Trendle,jcibarra,0-1,2188,2421,180+2,12:06:05 PDT,jcibarra won by resignation,"e2e4,c7c5,g1f3,e7e6,g2g3,b8c6,f1g2,g8f6,d1e2,d7d6,e1g1,f8e7,b2b3,e8g8,c1b2,e6e5,c2c3,c8g4,d2d3,d8d7,b1d2,b7b5,e2e3,b5b4,d2c4,b4c3,b2c3,f6e8,f3d2,e8c7,f2f4,c7b5,a1c1,b5c3,c1c3,c6d4,g2f3,g4h3,f3g2,e5f4,e3f2,f4g3,h2g3,h3g4,d2f3,g4f3,g2f3,a8e8,c3c1,f7f5,f2g2,e7g5,c1e1,f5f4,e4e5,d4f3,g2f3,d6e5,c4e5,e8e5,e1e5,d7d4,g1g2,d4e5,g3f4,g5f4","0.21,0.20,0.10,0.04,0.42,0.19,0.13,0.15,0.11,0.16,0.21,0.28,0.28,-0.08,-0.05,-0.11,-0.09,-0.22,-0.19,-0.37,-0.13,-0.06,0.24,-0.42,-0.28,-0.31,-0.33,-0.43,-0.38,-0.77,-0.59,-0.86,-0.64,-0.71,-0.72,-0.67,-0.49,-1.49,-1.90,-2.48,-2.61,-2.89,-2.88,-2.89,-2.99,-3.12,-2.78,-2.81,-2.75,-2.80,-2.91,-2.86,-2.70,-2.91,-2.89,-2.99,-2.73,-2.96,-2.85,-5.49,-5.55,-5.52,-5.49,-5.60,-5.67,-5.73",24.18181818,89.58990941,9.515151515,97.15286224,97.00867901,4.321866744,89.29055418,10.13345079,94.80148859,13.47910284,97.77908886,3.630701283,97.99717079,2.337530375,96.23607951,5.391445062
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,liczner,Palacios-LLera,1-0,2429,2200,180+2,12:06:08 PDT,liczner won by checkmate,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g7g6,b1c3,f8g7,d4b3,a7a5,a2a4,g8f6,f1e2,d7d6,e1g1,e8g8,f1e1,c8e6,e2f1,f8e8,c3d5,e6d5,e4d5,c6b4,f1b5,f6d7,c2c3,b4a6,b3a5,a6c7,b5d7,d8d7,a5c4,a8a6,c1e3,d7f5,c4b6,h7h5,h2h3,h5h4,d1d2,g8h7,e3d4,g7h6,d2e2,c7d5,e2b5,d5b6,b5e8,b6d5,e8h8","0.28,0.29,0.33,0.26,0.45,0.40,0.45,0.40,0.18,0.14,0.12,0.11,0.53,0.39,0.38,0.12,0.37,0.30,0.21,0.11,0.17,0.06,0.58,0.48,1.42,1.43,1.32,1.38,2.69,2.21,2.55,2.25,2.34,2.19,2.27,2.16,2.30,2.48,2.32,2.24,2.51,2.03,2.76,2.71,2.92,0.72,1.56,1.38,1.47,0.94,3.39,3.19,1",20.59259259,90.7154699,55.53846154,80.42676759,98.5995272,2.492011772,96.61236724,3.780468664,87.94146949,16.33361736,96.84637506,4.77248258,90.60285447,11.64233256,80.54724299,21.17065319
