user,white_games,black_games,total_games,wins_white,wins_black,wins_total,draw_white,draw_black,draw_total,lose_white,lose_black,lose_total,elo,accuracy,accuracy_opening,accuracy_middlegame,accuracy_endgame,win_rate,OpenAcc-meanAcc,MiddleAcc-meanAcc,EndAcc-meanAcc,OpenAcc-meanOpenAcc,MiddleAcc-meanMiddleAcc,EndAcc-meanEndAcc
gumersindo,25,25,50,10.0,10.0,20.0,4.0,4.0,8.0,11.0,11.0,22.0,2103.52,83.98348947093054,95.39760249394686,90.12776545546441,90.79071078068378,0.4,11.414113023016327,6.144275984533877,6.8072213097532455,0.484877578686735,-0.6870766206345422,-0.6465245149034331
GeorgMeier,23,20,43,18.0,11.0,29.0,4.0,6.0,10.0,1.0,3.0,4.0,2636.906976744186,90.63035902557269,96.24688975206666,93.43062217571209,93.65537600568618,0.6744186046511628,5.616530726493977,2.8002631501394006,3.0250169801134916,1.3341648368065364,2.615780099613133,2.2181407100989645
jcibarra,22,19,41,13.0,13.0,26.0,3.0,2.0,5.0,6.0,4.0,10.0,2481.439024390244,89.98463466077376,96.23752873496656,92.72128082342064,93.01948832597847,0.6341463414634146,6.252894074192795,2.7366461626468777,3.0348536652047073,1.3248038197064318,1.9064387473216868,1.5822530303912572
exoticprincess,22,17,39,17.0,12.0,29.0,4.0,1.0,5.0,1.0,4.0,5.0,2702.846153846154,92.82542233996833,94.95083499491825,94.55213503072278,95.76276890422841,0.7435897435897436,2.125412654949926,1.7267126907544537,2.937346564260082,0.03811007965812507,3.7372929546238254,4.325533608641194
pKiLz5Rn9b,18,21,39,7.0,7.0,14.0,1.0,3.0,4.0,10.0,11.0,21.0,2209.25641025641,87.10939129681837,94.2483364557686,90.73683635101344,92.13769664127126,0.358974358974359,7.1389451589502215,3.6274450541950642,5.028305344452889,-0.6643884594915335,-0.07800572508551795,0.7004613456840474
oggy1984,18,21,39,7.0,6.0,13.0,0.0,0.0,0.0,11.0,12.0,23.0,2193.2051282051284,86.53542247095866,95.15335684479368,90.4287029732523,91.49435701934677,0.3333333333333333,8.617934373835013,3.893280502293635,4.9589345483881,0.24063192953354928,-0.38613910284665565,0.05712172375955049
DanielRensch,17,20,37,8.0,9.0,17.0,2.0,1.0,3.0,7.0,10.0,17.0,2326.2972972972975,85.6551435547137,94.2871263985983,90.47583685202375,91.74055152796662,0.4594594594594595,8.6319828438846,4.820693297310044,6.085407973252913,-0.6255985166618245,-0.3390052240752084,0.30331623237940164
bsmail,17,18,35,7.0,6.0,13.0,0.0,0.0,0.0,10.0,11.0,21.0,2097.6,84.9173891409877,94.7030380772473,89.97063568324441,89.89963322205979,0.37142857142857144,9.785648936259605,5.053246542256716,4.982244081072096,-0.2096868380128285,-0.8442063928545451,-1.5376020735274238
GedoGluperd,19,16,35,11.0,8.0,19.0,1.0,1.0,2.0,7.0,7.0,14.0,2289.9142857142856,84.35659246062437,94.26309527755934,89.42686293888282,91.27761058102034,0.5428571428571428,9.906502816934974,5.0702704782584505,6.921018120395971,-0.6496296377007837,-1.387979137216135,-0.1596247145668741
MattyDPerrine,15,19,34,4.0,7.0,11.0,1.0,3.0,4.0,10.0,9.0,19.0,2066.970588235294,85.273614795788,95.11683747791082,89.98704423134991,90.64656514967942,0.3235294117647059,9.843222682122814,4.713429435561906,5.372950353891412,0.20411256265069255,-0.8277978447490426,-0.7906701459077965
