user,white_games,black_games,total_games,wins_white,wins_black,wins_total,draw_white,draw_black,draw_total,lose_white,lose_black,lose_total,elo,accuracy,accuracy_opening,accuracy_middlegame,accuracy_endgame,win_rate,opening_distance,middlegame_distance,endgame_distance,opening_distance_alt,middlegame_distance_alt,endgame_distance_alt
gumersindo,25,25,50,10.0,10.0,20.0,4.0,4.0,8.0,11.0,11.0,22.0,2103.52,84.14831546352448,95.294494218696,90.42405284877178,90.94642026943401,0.4,11.146178755171519,6.275737385247297,6.7981048059095315,0.2545884731044197,-0.515545904745025,-0.57121185609995
GeorgMeier,23,20,43,18.0,11.0,29.0,4.0,6.0,10.0,1.0,3.0,4.0,2636.906976744186,90.73393046812078,96.27275098759439,93.35771122497763,93.65777911268454,0.6744186046511628,5.538820519473617,2.62378075685686,2.923848644563762,1.23284524200281,2.41811247146083,2.1401469871505725
jcibarra,22,19,41,13.0,13.0,26.0,3.0,2.0,5.0,6.0,4.0,10.0,2481.439024390244,89.88737169826085,96.3668758789949,92.48065602284535,93.4847081328135,0.6341463414634146,6.479504180734054,2.593284324584502,3.597336434552645,1.3269701334033215,1.5410572693285474,1.9670760072795304
exoticprincess,22,17,39,17.0,12.0,29.0,4.0,1.0,5.0,1.0,4.0,5.0,2702.846153846154,92.82320800651546,95.16705347253698,94.41397069464892,95.66446105478298,0.7435897435897436,2.34384546602152,1.5907626881334664,2.841253048267518,0.12714772694539533,3.4743719411321194,4.146828929249011
pKiLz5Rn9b,18,21,39,7.0,7.0,14.0,1.0,3.0,4.0,10.0,11.0,21.0,2209.25641025641,87.02156617109497,94.29409917412127,91.00143150916489,92.25855224596566,0.358974358974359,7.272533003026297,3.9798653380699136,5.236986074870686,-0.745806571470311,0.06183275564808355,0.7409201204316958
oggy1984,18,21,39,7.0,6.0,13.0,0.0,0.0,0.0,11.0,12.0,23.0,2193.2051282051284,86.41983759412014,95.06591552199697,90.67798411204852,91.43111317638974,0.3333333333333333,8.646077927876831,4.258146517928381,5.0112755822696045,0.026009776405388152,-0.2616146414682845,-0.08651894914422087
DanielRensch,17,20,37,8.0,9.0,17.0,2.0,1.0,3.0,7.0,10.0,17.0,2326.2972972972975,85.69466855187899,94.28252370585483,90.9287075912974,91.79793416524349,0.4594594594594595,8.587855153975838,5.2340390394184055,6.103265613364499,-0.7573820397367541,-0.010891162219408557,0.2803020397095253
bsmail,17,18,35,7.0,6.0,13.0,0.0,0.0,0.0,10.0,11.0,21.0,2097.6,84.75235469484522,94.96806653674335,89.8081970672321,90.15106272201409,0.37142857142857144,10.215711841898127,5.055842372386877,5.398708027168865,-0.0718392088482318,-1.131401686284704,-1.3665694035198754
GedoGluperd,19,16,35,11.0,8.0,19.0,1.0,1.0,2.0,7.0,7.0,14.0,2289.9142857142856,83.57563227472713,94.34036042487496,89.36688615625425,91.07380228077085,0.5428571428571428,10.764728150147832,5.791253881527126,7.498170006043722,-0.6995453207166236,-1.5727125972625515,-0.4438298447631155
MattyDPerrine,15,19,34,4.0,7.0,11.0,1.0,3.0,4.0,10.0,9.0,19.0,2066.970588235294,85.19479051520081,95.55473291956812,90.14387532490703,90.53140088654948,0.3235294117647059,10.359942404367317,4.949084809706221,5.3366103713486694,0.514827173976542,-0.7957234286097759,-0.9862312389844874
Hafez_Bakr,15,18,33,3.0,3.0,6.0,0.0,0.0,0.0,12.0,15.0,27.0,1799.909090909091,86.23613217882907,93.8649027677065,89.65107555818561,92.21057573629506,0.18181818181818182,7.62877058887743,3.4149433793565436,5.974443557465989,-1.175002977885086,-1.2885231953311944,0.6929436107610911
Gevorg_Harutjunyan,18,14,32,10.0,7.0,17.0,1.0,4.0,5.0,7.0,3.0,10.0,2490.90625,89.13355167049038,95.10368579021339,92.83187526010462,94.23706994624938,0.53125,5.9701341197230136,3.6983235896142475,5.103518275759001,0.06378004462180797,1.8922765065878195,2.719437820715413
wonderfultime,17,15,32,10.0,9.0,19.0,2.0,3.0,5.0,5.0,3.0,8.0,2535.03125,87.68665864196618,96.32926028913755,91.69115845559146,91.92664763973514,0.59375,8.642601647171375,4.004499813625287,4.239988997768961,1.2893545435459686,0.7515597020746583,0.40901551420117244
AUSSIE_PINOY,16,16,32,5.0,6.0,11.0,2.0,1.0,3.0,9.0,9.0,18.0,2270.46875,83.74563702583345,92.61459917070758,88.39898606795447,90.01857165566629,0.34375,8.868962144874132,4.653349042121022,6.2729346298328466,-2.4253065748840044,-2.540612685562337,-1.499060469867672
rhungaski,17,15,32,9.0,7.0,16.0,4.0,2.0,6.0,4.0,6.0,10.0,2411.65625,88.32352295467848,95.89969908783776,91.3485670152346,93.16794052605503,0.5,7.576176133159279,3.0250440605561124,4.844417571376553,0.8597933422461779,0.40896826171778855,1.6503084005210695
Tilicheev_Viacheslav,15,17,32,10.0,7.0,17.0,3.0,4.0,7.0,2.0,6.0,8.0,2486.78125,88.37593877437851,95.06047293372575,92.42513474154423,92.51961936518244,0.53125,6.684534159347237,4.049195967165716,4.143680590803925,0.020567188134165804,1.4855359880274221,1.0019872396484715
bugsbunny444,16,16,32,7.0,7.0,14.0,3.0,1.0,4.0,6.0,8.0,14.0,2292.875,87.08372063843576,95.11210039379922,91.28739504242306,91.64746259998302,0.4375,8.02837975536346,4.203674403987293,4.563741961547251,0.07219464820764188,0.34779628890625247,0.12983047444905083
IMRosen,15,17,32,9.0,6.0,15.0,2.0,2.0,4.0,4.0,9.0,13.0,2046.25,86.31925049285047,95.66151644893904,90.82807881848854,92.31789194330192,0.46875,9.342265956088568,4.5088283256380635,5.998641450451444,0.6216107033474572,-0.1115199350282694,0.8002598177679516
stepanosinovsky,16,16,32,9.0,4.0,13.0,0.0,0.0,0.0,4.0,12.0,16.0,2263.1875,87.45742792776856,94.61768045465499,92.0513279592954,91.40716829896,0.40625,7.160252526886424,4.593900031526843,3.9497403711914387,-0.4222252909365949,1.1117292057786017,-0.11046382657396236
LADIESGET2KNOWME,17,15,32,7.0,6.0,13.0,2.0,3.0,5.0,8.0,6.0,14.0,2269.625,85.75320769501414,93.65135171484495,89.71665616973766,92.91539147774549,0.40625,7.898144019830809,3.9634484747235206,7.162183782731347,-1.3885540307466329,-1.2229425837791439,1.3977593522115228
